2017_precip,2018_precip,2017_wind_speed_miles,2018_wind_speed_miles,2017_humidity,2018_humidity,2017_wind_degree,2018_wind_degree,2017_temp_F,2018_temp_F,2017_cloud_cover,2018_cloud_cover
0.0,0.3,8.0,8.0,71.0,74.0,284.0,247.0,68.0,63.0,68.0,63.0
0.0,0.5,9.0,7.0,55.0,72.0,321.0,257.0,69.0,62.0,69.0,62.0
0.0,0.1,7.0,8.0,48.0,74.0,266.0,270.0,72.0,62.0,72.0,62.0
0.0,0.0,5.0,6.0,70.0,72.0,259.0,258.0,73.0,61.0,73.0,61.0
0.0,0.0,6.0,6.0,58.0,69.0,299.0,245.0,79.0,66.0,79.0,66.0
0.0,0.0,6.0,6.0,61.0,74.0,300.0,215.0,81.0,66.0,81.0,66.0
0.0,0.1,4.0,6.0,65.0,79.0,247.0,247.0,80.0,63.0,80.0,63.0
0.0,0.1,7.0,4.0,77.0,70.0,247.0,254.0,72.0,72.0,72.0,72.0
0.1,0.0,13.0,6.0,74.0,70.0,265.0,251.0,66.0,67.0,66.0,67.0
0.0,0.0,10.0,7.0,67.0,75.0,274.0,257.0,60.0,65.0,60.0,65.0
0.0,0.0,5.0,5.0,64.0,67.0,242.0,254.0,67.0,72.0,67.0,72.0
0.0,0.0,5.0,6.0,72.0,73.0,226.0,244.0,70.0,70.0,70.0,70.0
0.0,0.0,5.0,8.0,72.0,76.0,229.0,256.0,74.0,67.0,74.0,67.0
0.0,0.0,10.0,6.0,81.0,72.0,236.0,245.0,61.0,69.0,61.0,69.0
0.0,0.0,9.0,6.0,82.0,55.0,251.0,286.0,63.0,73.0,63.0,73.0
0.0,0.0,14.0,6.0,67.0,52.0,287.0,290.0,62.0,74.0,62.0,74.0
0.0,0.0,11.0,7.0,65.0,74.0,291.0,239.0,63.0,64.0,63.0,64.0
0.0,0.0,7.0,7.0,73.0,78.0,260.0,253.0,63.0,62.0,63.0,62.0
0.0,0.0,8.0,8.0,74.0,73.0,249.0,250.0,64.0,63.0,64.0,63.0
0.0,0.0,13.0,7.0,82.0,72.0,253.0,259.0,60.0,63.0,60.0,63.0
0.0,0.0,7.0,7.0,70.0,78.0,279.0,253.0,66.0,67.0,66.0,67.0
0.0,0.1,5.0,7.0,64.0,79.0,260.0,243.0,73.0,64.0,73.0,64.0
0.0,0.1,4.0,10.0,59.0,79.0,223.0,248.0,77.0,62.0,77.0,62.0
0.0,0.1,5.0,9.0,57.0,78.0,235.0,247.0,79.0,62.0,79.0,62.0
0.0,0.0,4.0,6.0,61.0,76.0,227.0,227.0,80.0,68.0,80.0,68.0
0.0,0.1,5.0,8.0,69.0,81.0,246.0,229.0,77.0,62.0,77.0,62.0
0.0,0.2,6.0,8.0,73.0,80.0,248.0,243.0,74.0,61.0,74.0,61.0
0.1,0.1,8.0,7.0,82.0,79.0,236.0,245.0,64.0,60.0,64.0,60.0
0.3,0.0,11.0,6.0,82.0,79.0,223.0,237.0,61.0,60.0,61.0,60.0
0.1,0.1,7.0,5.0,80.0,77.0,233.0,259.0,63.0,65.0,63.0,65.0
0.0,0.0,7.0,4.0,77.0,68.0,247.0,239.0,66.0,74.0,66.0,74.0
0.1,0.0,7.0,4.0,84.0,60.0,251.0,233.0,66.0,81.0,66.0,81.0
0.1,0.0,9.0,5.0,82.0,62.0,246.0,244.0,64.0,80.0,64.0,80.0
0.0,0.0,11.0,11.0,77.0,71.0,253.0,240.0,65.0,63.0,65.0,63.0
1.0,0.0,8.0,10.0,76.0,71.0,260.0,258.0,70.0,62.0,70.0,62.0
0.0,0.0,9.0,4.0,79.0,63.0,252.0,252.0,70.0,74.0,70.0,74.0
0.0,0.0,6.0,4.0,73.0,52.0,250.0,247.0,75.0,84.0,75.0,84.0
0.0,0.0,7.0,5.0,76.0,55.0,241.0,241.0,72.0,83.0,72.0,83.0
0.0,0.0,8.0,8.0,71.0,63.0,247.0,255.0,70.0,72.0,70.0,72.0
0.0,0.0,6.0,7.0,70.0,69.0,242.0,238.0,75.0,68.0,75.0,68.0
0.0,0.0,7.0,9.0,76.0,73.0,240.0,236.0,71.0,65.0,71.0,65.0
0.0,0.0,8.0,8.0,76.0,73.0,237.0,250.0,67.0,67.0,67.0,67.0
0.0,0.0,5.0,7.0,80.0,69.0,215.0,256.0,63.0,74.0,63.0,74.0
0.1,0.1,10.0,10.0,77.0,65.0,261.0,271.0,66.0,67.0,66.0,67.0
0.0,0.0,13.0,7.0,73.0,58.0,270.0,283.0,65.0,70.0,65.0,70.0
0.1,0.0,14.0,5.0,67.0,61.0,279.0,261.0,63.0,77.0,63.0,77.0
0.0,0.0,7.0,5.0,75.0,55.0,255.0,255.0,66.0,83.0,66.0,83.0
0.0,0.0,6.0,6.0,70.0,64.0,254.0,245.0,71.0,79.0,71.0,79.0
0.0,0.0,6.0,6.0,65.0,67.0,255.0,227.0,77.0,72.0,77.0,72.0
0.0,0.0,8.0,8.0,64.0,73.0,265.0,217.0,78.0,68.0,78.0,68.0
0.0,0.0,7.0,9.0,64.0,75.0,261.0,211.0,83.0,69.0,83.0,69.0
0.0,0.1,6.0,7.0,61.0,72.0,258.0,225.0,83.0,70.0,83.0,70.0
0.0,0.1,5.0,5.0,50.0,73.0,240.0,254.0,89.0,73.0,89.0,73.0
0.0,0.1,6.0,6.0,60.0,76.0,236.0,248.0,84.0,73.0,84.0,73.0
0.0,0.1,6.0,7.0,70.0,75.0,240.0,251.0,81.0,70.0,81.0,70.0
0.1,0.1,6.0,5.0,73.0,71.0,230.0,248.0,81.0,74.0,81.0,74.0
0.0,0.0,6.0,5.0,59.0,59.0,238.0,244.0,89.0,83.0,89.0,83.0
0.0,0.0,7.0,5.0,73.0,47.0,248.0,251.0,78.0,88.0,78.0,88.0
0.1,0.0,7.0,7.0,81.0,70.0,253.0,239.0,74.0,75.0,74.0,75.0
0.1,0.1,8.0,7.0,82.0,75.0,247.0,238.0,69.0,71.0,69.0,71.0
0.1,0.0,10.0,6.0,80.0,70.0,252.0,237.0,71.0,73.0,71.0,73.0
0.1,0.1,9.0,7.0,81.0,76.0,249.0,232.0,70.0,69.0,70.0,69.0
0.1,0.0,8.0,7.0,79.0,70.0,243.0,240.0,70.0,71.0,70.0,71.0
0.1,0.0,8.0,5.0,79.0,62.0,240.0,241.0,71.0,79.0,71.0,79.0
0.2,0.0,8.0,5.0,79.0,54.0,239.0,231.0,70.0,86.0,70.0,86.0
0.1,0.0,9.0,6.0,77.0,70.0,240.0,244.0,70.0,77.0,70.0,77.0
0.1,0.0,6.0,6.0,78.0,76.0,225.0,244.0,73.0,74.0,73.0,74.0
0.0,0.1,6.0,7.0,76.0,73.0,248.0,224.0,75.0,73.0,75.0,73.0
0.0,0.1,6.0,7.0,77.0,75.0,248.0,233.0,74.0,67.0,74.0,67.0
0.0,0.0,6.0,5.0,76.0,67.0,252.0,258.0,74.0,75.0,74.0,75.0
0.0,0.0,6.0,4.0,64.0,55.0,252.0,263.0,81.0,81.0,81.0,81.0
0.0,0.0,6.0,6.0,52.0,54.0,251.0,262.0,89.0,82.0,89.0,82.0
0.0,0.0,6.0,6.0,47.0,59.0,243.0,247.0,88.0,79.0,88.0,79.0
0.0,0.0,6.0,6.0,68.0,53.0,241.0,257.0,79.0,83.0,79.0,83.0
0.0,0.0,7.0,6.0,74.0,58.0,237.0,251.0,76.0,82.0,76.0,82.0
0.0,0.1,7.0,5.0,72.0,70.0,236.0,236.0,74.0,79.0,74.0,79.0
0.0,1.4,6.0,5.0,73.0,70.0,241.0,254.0,76.0,76.0,76.0,76.0
0.0,2.4,6.0,5.0,75.0,72.0,238.0,257.0,75.0,77.0,75.0,77.0
0.0,0.0,6.0,6.0,72.0,72.0,237.0,253.0,76.0,76.0,76.0,76.0
0.0,0.0,5.0,6.0,61.0,73.0,238.0,245.0,83.0,74.0,83.0,74.0
0.0,0.0,6.0,5.0,44.0,70.0,249.0,249.0,90.0,78.0,90.0,78.0
0.0,0.1,7.0,5.0,55.0,73.0,247.0,246.0,81.0,78.0,81.0,78.0
0.1,0.1,8.0,5.0,76.0,73.0,240.0,242.0,69.0,79.0,69.0,79.0
0.0,0.0,6.0,5.0,71.0,69.0,238.0,246.0,77.0,80.0,77.0,80.0
0.0,0.0,6.0,5.0,71.0,67.0,237.0,251.0,74.0,79.0,74.0,79.0
0.0,0.0,6.0,6.0,67.0,68.0,235.0,249.0,78.0,79.0,78.0,79.0
0.0,0.0,4.0,6.0,59.0,73.0,226.0,251.0,84.0,78.0,84.0,78.0
0.0,0.0,5.0,6.0,60.0,67.0,242.0,253.0,84.0,79.0,84.0,79.0
0.0,0.0,5.0,6.0,71.0,70.0,237.0,249.0,76.0,78.0,76.0,78.0
0.0,0.0,5.0,5.0,72.0,64.0,252.0,251.0,76.0,84.0,76.0,84.0
0.0,0.1,5.0,6.0,72.0,75.0,258.0,243.0,78.0,78.0,78.0,78.0
0.0,0.0,5.0,6.0,63.0,77.0,239.0,246.0,82.0,74.0,82.0,74.0
0.0,0.1,6.0,5.0,68.0,72.0,236.0,242.0,77.0,79.0,77.0,79.0
0.0,0.1,5.0,5.0,73.0,76.0,241.0,242.0,75.0,76.0,75.0,76.0
0.1,0.0,5.0,5.0,71.0,72.0,247.0,243.0,78.0,78.0,78.0,78.0
0.0,0.0,5.0,5.0,66.0,73.0,248.0,238.0,79.0,77.0,79.0,77.0
0.0,0.2,4.0,6.0,61.0,76.0,240.0,241.0,84.0,75.0,84.0,75.0
0.0,0.1,4.0,5.0,57.0,74.0,251.0,235.0,85.0,74.0,85.0,74.0
0.1,0.0,5.0,4.0,53.0,65.0,244.0,232.0,80.0,80.0,80.0,80.0
1.2,0.0,4.0,6.0,62.0,53.0,247.0,253.0,79.0,83.0,79.0,83.0
0.3,0.0,6.0,5.0,71.0,65.0,244.0,246.0,77.0,78.0,77.0,78.0
0.4,0.0,6.0,5.0,76.0,56.0,246.0,252.0,74.0,84.0,74.0,84.0
0.3,0.0,7.0,5.0,79.0,68.0,244.0,240.0,73.0,77.0,73.0,77.0
0.1,0.1,6.0,4.0,79.0,70.0,242.0,234.0,74.0,79.0,74.0,79.0
0.2,0.0,7.0,4.0,82.0,61.0,238.0,242.0,69.0,83.0,69.0,83.0
0.1,0.0,6.0,5.0,79.0,59.0,241.0,237.0,74.0,83.0,74.0,83.0
